Country;class;Molecule;marketSize Value 2021;marketSize Value 2020;marketSize Value 2019;marketSize Value 2018;marketSize Value 2017;Evolution Value 2021;Evolution Value 2020;Evolution Value 2019;Evolution Value 2018;CAGR SValue;total MS SValue;marketShare Value;marketSize Volume 2021;marketSize Volume 2020;marketSize Volume 2019;marketSize Volume 2018;marketSize Volume 2017;Evolution Volume 2021;Evolution Volume 2020;Evolution Volume 2019;Evolution Volume 2018;CAGR Volume;total MS SVolume;marketShare Volume;Country;class;marketSize Value 2021;marketSize Value 2020;marketSize Value 2019;marketSize Value 2018;marketSize Value 2017;Evolution Value 2021;Evolution Value 2020;Evolution Value 2019;Evolution Value 2018;CAGR SValue;total MS SValue;marketShare Value;marketSize Volume 2021;marketSize Volume 2020;marketSize Volume 2019;marketSize Volume 2018;marketSize Volume 2017;Evolution Volume 2021;Evolution Volume 2020;Evolution Volume 2019;Evolution Volume 2018;CAGR Volume;total MS SVolume;marketShare Volume;Country;marketSize Value 2021;marketSize Value 2020;marketSize Value 2019;marketSize Value 2018;marketSize Value 2017;Evolution Value 2021;Evolution Value 2020;Evolution Value 2019;Evolution Value 2018;CAGR SValue;marketSize Volume 2021;marketSize Volume 2020;marketSize Volume 2019;marketSize Volume 2018;marketSize Volume 2017;Evolution Volume 2021;Evolution Volume 2020;Evolution Volume 2019;Evolution Volume 2018;CAGR Volume
Turkey;SL;GLIC;15338545.0;12744773.0;10454156.0;8685891.0;7645498.0;20.352%;21.911%;20.358%;13.608%;14.941%;54868863.0;42.189%;556247350.0;517452700.0;508873770.0;527590900.0;535121330.0;7.497%;1.686%;-3.548%;-1.407%;0.777%;2645286050.0;32.433%;Turkey;SL;18591941.0;15734768.0;13187045.0;12389766.0;11210074.0;18.158%;19.320%;6.435%;10.523%;10.648%;71113594.0;10.373%;662634294.0;625426250.0;621542388.0;694936548.0;718456136.0;5.949%;0.625%;-10.561%;-3.274%;-1.605%;3322995616.0;20.297%;Turkey;236926935.0;183302806.0;121338792.0;85949212.0;58016381.0;29.254%;51.067%;41.175%;48.146%;32.499%;3801955166.0;3405929620.0;3123962662.0;3147319815.0;2892672071.0;11.628%;9.026%;-0.742%;8.803%;5.619%
Turkey;SL;NATE;1560630.0;1492628.0;1450901.0;2598357.0;2457823.0;4.556%;2.876%;-44.161%;5.718%;-8.683%;9560339.0;100.000%;36018864.0;38064180.0;41129508.0;93578268.0;100783536.0;-5.373%;-7.453%;-56.048%;-7.149%;-18.599%;309574356.0;100.000%;Turkey;SL;18591941.0;15734768.0;13187045.0;12389766.0;11210074.0;18.158%;19.320%;6.435%;10.523%;10.648%;71113594.0;10.373%;662634294.0;625426250.0;621542388.0;694936548.0;718456136.0;5.949%;0.625%;-10.561%;-3.274%;-1.605%;3322995616.0;20.297%;Turkey;236926935.0;183302806.0;121338792.0;85949212.0;58016381.0;29.254%;51.067%;41.175%;48.146%;32.499%;3801955166.0;3405929620.0;3123962662.0;3147319815.0;2892672071.0;11.628%;9.026%;-0.742%;8.803%;5.619%
Turkey;SL;GLIM;1523580.0;1308274.0;1129265.0;965665.0;974589.0;16.457%;15.852%;16.942%;-0.916%;9.347%;5901373.0;60.417%;66032040.0;64878210.0;66582930.0;68685360.0;77612310.0;1.778%;-2.560%;-3.061%;-11.502%;-3.180%;343790850.0;75.739%;Turkey;SL;18591941.0;15734768.0;13187045.0;12389766.0;11210074.0;18.158%;19.320%;6.435%;10.523%;10.648%;71113594.0;10.373%;662634294.0;625426250.0;621542388.0;694936548.0;718456136.0;5.949%;0.625%;-10.561%;-3.274%;-1.605%;3322995616.0;20.297%;Turkey;236926935.0;183302806.0;121338792.0;85949212.0;58016381.0;29.254%;51.067%;41.175%;48.146%;32.499%;3801955166.0;3405929620.0;3123962662.0;3147319815.0;2892672071.0;11.628%;9.026%;-0.742%;8.803%;5.619%
Turkey;SL;GLIP;151321.0;171748.0;138360.0;128590.0;123546.0;-11.894%;24.131%;7.598%;4.083%;4.139%;713565.0;19.214%;2001440.0;2443660.0;2404080.0;2640520.0;2856260.0;-18.097%;1.646%;-8.954%;-7.553%;-6.866%;12345960.0;11.411%;Turkey;SL;18591941.0;15734768.0;13187045.0;12389766.0;11210074.0;18.158%;19.320%;6.435%;10.523%;10.648%;71113594.0;10.373%;662634294.0;625426250.0;621542388.0;694936548.0;718456136.0;5.949%;0.625%;-10.561%;-3.274%;-1.605%;3322995616.0;20.297%;Turkey;236926935.0;183302806.0;121338792.0;85949212.0;58016381.0;29.254%;51.067%;41.175%;48.146%;32.499%;3801955166.0;3405929620.0;3123962662.0;3147319815.0;2892672071.0;11.628%;9.026%;-0.742%;8.803%;5.619%
Turkey;SL;GLIB;17865.0;17345.0;14363.0;11263.0;8618.0;2.998%;20.762%;27.524%;30.692%;15.696%;69454.0;100.000%;2334600.0;2587500.0;2552100.0;2441500.0;2082700.0;-9.774%;1.387%;4.530%;17.228%;2.310%;11998400.0;100.000%;Turkey;SL;18591941.0;15734768.0;13187045.0;12389766.0;11210074.0;18.158%;19.320%;6.435%;10.523%;10.648%;71113594.0;10.373%;662634294.0;625426250.0;621542388.0;694936548.0;718456136.0;5.949%;0.625%;-10.561%;-3.274%;-1.605%;3322995616.0;20.297%;Turkey;236926935.0;183302806.0;121338792.0;85949212.0;58016381.0;29.254%;51.067%;41.175%;48.146%;32.499%;3801955166.0;3405929620.0;3123962662.0;3147319815.0;2892672071.0;11.628%;9.026%;-0.742%;8.803%;5.619%
Turkey;GT + B;ME+ PIOG;9743020.0;8372091.0;5876805.0;4592806.0;3692710.0;16.375%;42.460%;27.957%;24.375%;21.414%;32277432.0;20.541%;156631830.0;150442620.0;126325290.0;123634590.0;110985000.0;4.114%;19.091%;2.176%;11.398%;7.133%;668019330.0;31.750%;Turkey;GT + B;9743020.0;8372091.0;5876805.0;4592806.0;3692710.0;16.375%;42.460%;27.957%;24.375%;21.414%;32277432.0;4.708%;156631830.0;150442620.0;126325290.0;123634590.0;110985000.0;4.114%;19.091%;2.176%;11.398%;7.133%;668019330.0;4.080%;Turkey;236926935.0;183302806.0;121338792.0;85949212.0;58016381.0;29.254%;51.067%;41.175%;48.146%;32.499%;3801955166.0;3405929620.0;3123962662.0;3147319815.0;2892672071.0;11.628%;9.026%;-0.742%;8.803%;5.619%
Turkey;GT;PIOG;8617305.0;7167973.0;5615730.0;4704034.0;4357684.0;20.220%;27.641%;19.381%;7.948%;14.610%;30462726.0;77.157%;85028784.0;80368398.0;74976136.0;75269752.0;78714740.0;5.799%;7.192%;-0.390%;-4.377%;1.555%;394357810.0;79.605%;Turkey;GT;8617305.0;7167973.0;5615730.0;4704034.0;4357684.0;20.220%;27.641%;19.381%;7.948%;14.610%;30462726.0;4.444%;85028784.0;80368398.0;74976136.0;75269752.0;78714740.0;5.799%;7.192%;-0.390%;-4.377%;1.555%;394357810.0;2.409%;Turkey;236926935.0;183302806.0;121338792.0;85949212.0;58016381.0;29.254%;51.067%;41.175%;48.146%;32.499%;3801955166.0;3405929620.0;3123962662.0;3147319815.0;2892672071.0;11.628%;9.026%;-0.742%;8.803%;5.619%
Turkey;GP;EXEN;3812999.0;2990878.0;2144226.0;1531636.0;1101457.0;27.488%;39.485%;39.996%;39.055%;28.192%;11581196.0;8.299%;266309.0;240153.0;199361.0;161772.0;128103.0;10.891%;20.461%;23.236%;26.283%;15.762%;995698.0;10.346%;Turkey;GP;6218692.0;4804169.0;3636249.0;2721634.0;1788097.0;29.444%;32.119%;33.605%;52.208%;28.310%;19168841.0;2.796%;367016.0;313656.0;263946.0;210929.0;159089.0;17.012%;18.833%;25.135%;32.586%;18.198%;1314636.0;0.008%;Turkey;236926935.0;183302806.0;121338792.0;85949212.0;58016381.0;29.254%;51.067%;41.175%;48.146%;32.499%;3801955166.0;3405929620.0;3123962662.0;3147319815.0;2892672071.0;11.628%;9.026%;-0.742%;8.803%;5.619%
Turkey;GP;DULA;1674495.0;1333168.0;810893.0;86020.0;0.0;25.603%;64.407%;842.680%;0.000%;0.000%;3904576.0;100.000%;70016.0;55740.0;38620.0;4544.0;0.0;25.612%;44.329%;749.912%;0.000%;0.000%;168920.0;100.000%;Turkey;GP;6218692.0;4804169.0;3636249.0;2721634.0;1788097.0;29.444%;32.119%;33.605%;52.208%;28.310%;19168841.0;2.796%;367016.0;313656.0;263946.0;210929.0;159089.0;17.012%;18.833%;25.135%;32.586%;18.198%;1314636.0;0.008%;Turkey;236926935.0;183302806.0;121338792.0;85949212.0;58016381.0;29.254%;51.067%;41.175%;48.146%;32.499%;3801955166.0;3405929620.0;3123962662.0;3147319815.0;2892672071.0;11.628%;9.026%;-0.742%;8.803%;5.619%
Turkey;GP;LIRA;731198.0;480123.0;681130.0;1103978.0;686640.0;52.294%;-29.511%;-38.302%;60.780%;1.265%;3683069.0;20.369%;30691.0;17763.0;25965.0;44613.0;30986.0;72.780%;-31.589%;-41.799%;43.978%;-0.191%;150018.0;12.849%;Turkey;GP;6218692.0;4804169.0;3636249.0;2721634.0;1788097.0;29.444%;32.119%;33.605%;52.208%;28.310%;19168841.0;2.796%;367016.0;313656.0;263946.0;210929.0;159089.0;17.012%;18.833%;25.135%;32.586%;18.198%;1314636.0;0.008%;Turkey;236926935.0;183302806.0;121338792.0;85949212.0;58016381.0;29.254%;51.067%;41.175%;48.146%;32.499%;3801955166.0;3405929620.0;3123962662.0;3147319815.0;2892672071.0;11.628%;9.026%;-0.742%;8.803%;5.619%
