Country;class;marketSize Value 2021;marketSize Value 2020;marketSize Value 2019;marketSize Value 2018;marketSize Value 2017;Evolution Value 2021;Evolution Value 2020;Evolution Value 2019;Evolution Value 2018;CAGR SValue;total MS SValue;marketShare Value;marketSize Volume 2021;marketSize Volume 2020;marketSize Volume 2019;marketSize Volume 2018;marketSize Volume 2017;Evolution Volume 2021;Evolution Volume 2020;Evolution Volume 2019;Evolution Volume 2018;CAGR Volume;total MS SVolume;marketShare Volume
Lebanon;X + B;15248321.0;12579808.0;11860351.0;12990803.0;11362270.0;21.213%;6.066%;-8.702%;14.333%;6.060%;64041553.0;33.372%;37019058.0;31236990.0;28490304.0;29940816.0;27244257.0;18.510%;9.641%;-4.845%;9.898%;6.324%;153931425.0;23.220%
Lebanon;SG;6111267.0;4757246.0;4867139.0;5222152.0;3548647.0;28.462%;-2.258%;-6.798%;47.159%;11.484%;24506451.0;12.770%;6461445.0;4643847.0;4308669.0;4455666.0;3096183.0;39.140%;7.779%;-3.299%;43.908%;15.851%;22965810.0;3.464%
Lebanon;X;3905409.0;3135531.0;3054018.0;3379653.0;3408164.0;24.553%;2.669%;-9.635%;-0.837%;2.761%;16882775.0;8.798%;6665280.0;5427819.0;5219058.0;5662740.0;5247774.0;22.798%;4.000%;-7.835%;7.907%;4.898%;28222671.0;4.257%
Lebanon;SG + B;3599131.0;2642597.0;1820109.0;913466.0;294058.0;36.197%;45.189%;99.253%;210.641%;65.026%;9269361.0;4.830%;7054440.0;4770600.0;2904810.0;1296060.0;444540.0;47.873%;64.231%;124.126%;191.551%;73.824%;16470450.0;2.484%
Lebanon;GP;4676066.0;3130641.0;3537352.0;3970714.0;3520823.0;49.364%;-11.498%;-10.914%;12.778%;5.839%;18835596.0;9.815%;174636.0;115821.0;105807.0;114810.0;107304.0;50.781%;9.464%;-7.842%;6.995%;10.231%;618378.0;0.093%
Lebanon;SL;2350752.0;2961129.0;3382024.0;3518345.0;3651915.0;-20.613%;-12.445%;-3.875%;-3.658%;-8.433%;15864165.0;8.267%;19957374.0;19969320.0;20284410.0;20035824.0;20809206.0;-0.060%;-1.553%;1.241%;-3.717%;-0.832%;101056134.0;15.244%
Lebanon;SL + B;1227178.0;1060172.0;1225713.0;1408103.0;1481171.0;15.753%;-13.506%;-12.953%;-4.933%;-3.692%;6402337.0;3.336%;9316545.0;8145327.0;8901576.0;10206147.0;11624466.0;14.379%;-8.496%;-12.782%;-12.201%;-4.330%;48194061.0;7.270%
Lebanon;GT;811186.0;606499.0;610864.0;612265.0;578522.0;33.749%;-0.715%;-0.229%;5.833%;6.994%;3219336.0;1.678%;2333160.0;1683000.0;1647090.0;1606620.0;1485870.0;38.631%;2.180%;2.519%;8.127%;9.444%;8755740.0;1.321%
Lebanon;X + SG;717456.0;231340.0;0.0;0.0;0.0;210.131%;0.000%;0.000%;0.000%;0.000%;948796.0;0.494%;537690.0;175080.0;0.0;0.0;0.0;207.111%;0.000%;0.000%;0.000%;0.000%;712770.0;0.108%
Lebanon;X + GT;365827.0;320169.0;224737.0;78358.0;57687.0;14.261%;42.464%;186.808%;35.833%;44.690%;1046778.0;0.545%;443871.0;333945.0;208875.0;72822.0;54789.0;32.917%;59.878%;186.830%;32.914%;51.954%;1114302.0;0.168%
Lebanon;GD;337925.0;332358.0;311644.0;318046.0;309139.0;1.675%;6.647%;-2.013%;2.881%;1.797%;1609112.0;0.839%;3013290.0;3131220.0;2886120.0;2955390.0;3125490.0;-3.766%;8.492%;-2.344%;-5.442%;-0.729%;15111510.0;2.280%
Lebanon;GT + B;135848.0;14707.0;0.0;0.0;0.0;823.696%;0.000%;0.000%;0.000%;0.000%;150555.0;0.078%;366738.0;39702.0;0.0;0.0;0.0;823.727%;0.000%;0.000%;0.000%;0.000%;406440.0;0.061%
Lebanon;IAG;11.0;13730.0;35504.0;62420.0;64073.0;-99.920%;-61.328%;-43.121%;-2.580%;-82.342%;175738.0;0.092%;210.0;212700.0;322500.0;570690.0;638610.0;-99.901%;-34.047%;-43.489%;-10.636%;-79.891%;1744710.0;0.263%
Ukraine;B;19512113.0;16603006.0;13515630.0;11587173.0;9414134.0;17.522%;22.843%;16.643%;23.083%;15.692%;70632056.0;43.034%;388168090.0;359648912.0;290626108.0;239752528.0;169400286.0;7.930%;23.750%;21.219%;41.530%;18.038%;1447595924.0;60.692%
